"","State","ST","County","Republicans.2016","Democrats.2016","Green.2016","Libertarians.2016","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Child.Poverty.living.in.families.below.the.poverty.line","White","Black","Hispanic","Asian","Amerindian","Other","Median.Age","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","incomequartile","orig.id","whichway"
"234","Virginia","VA","Suffolk city, Virginia",41.03603711,54.88325503,0.510386606,2.56385795,15.3,84.7,25.1,8.7,76.2,35185.89397,18.1,8.35,82823,47.9,10.95,16.3,52.3,41.4,2.7,1.5,0.25,1.9,37.5,2.8,2.8,0.1,36.8,0.364,0.192,0.324,0.119,859.5,319.8,0.128,0.068,323,7.42,50.9,10,"Q4","234","Democrat"
"182","Texas","TX","Starr County, Texas",18.97185869,79.08647678,0.581644,1.360020529,52.1,47.9,9.8,2.8,75.55,14206.17873,52.5,34.6,60952,44.6,38.9,48.15,2.5,0,97.15,0.15,0.05,0.1,28.6,4.4,4.6,0.09,101.2,0.357,NA,0.293,0.09,341.9,66.1,0.346,0.15,272.31,8.18,44.4,3.7,"Q1","182","Democrat"
"160","Ohio","OH","Franklin County, Ohio",34.67174799,60.56505099,1.043606491,3.398346166,11.1,88.9,35,12.2,77.25,30625.87111,25.6,9.6,1143743,42.5,16.4,22.1,69.05,20.05,4.4,3.7,0.15,2.6,33.4,3.7,3.9,0.09,43.6,0.388,0.197,0.303,0.1,628.8,375.6,0.153,0.061,509.95,9.14,59.9,8.5,"Q4","160","Democrat"
"176","Oregon","OR","Multnomah County, Oregon",17.62484557,75.95943672,3.181724163,3.233993549,11,89,37.5,14.3,74.65,28976.63651,21.65,12,716966,49.4,15.75,20.85,73.1,5.45,10.55,6.25,0.7,4,35.8,3.4,3.2,0.07,33.1,0.328,0.135,0.223,0.074,529,450.1,0.186,0.078,496.74,4.14,64.8,5.6,"Q4","176","Democrat"
"122","Washington","WA","Kitsap County, Washington",39.42002107,51.05247629,1.847839831,6.770073762,7.3,92.7,28,10,71.4,31583.19365,14.15,5.2,244979,51.9,9.15,11.15,80.45,2.5,5.55,4.6,1.35,5.5,38.9,3.7,3.4,0.06,26.1,0.282,0.169,0.297,0.086,327.1,86.7,0.132,0.074,379.69,1.8,55.3,5,"Q4","122","Democrat"
"316","New Mexico","NM","Bernalillo County, New Mexico",34.51199247,52.19040896,1.313215982,10.80609109,13.8,86.2,31.5,14,75.4,27388.68381,24.65,9.6,644693,42.2,15.4,22.05,42.4,2.65,46.75,2.2,4.1,1.95,35.7,3.6,3.5,0.09,50,0.395,0.175,0.193,0.059,576.8,190.6,0.207,0.071,766.41,8.09,91.9,6.1,"Q3","316","Democrat"
"189","Virginia","VA","Martinsville city, Virginia",36.59117998,60.12259493,0.493785118,1.924059254,21.7,78.3,20.4,6.8,76.65,21323.02318,35.9,16.85,14240,50,22.15,30.25,50.45,43.15,4.3,0.85,0.2,0.95,43.4,NA,NA,0.11,67.3,0.564,NA,0.323,0.135,855.5,345.7,0.16,0.16,295.4,NA,82.6,NA,"Q1","189","Democrat"
"287","Virginia","VA","Prince Edward County, Virginia",44.97969933,50.36760672,0.581586744,3.138373752,18.8,81.2,18.5,7.6,86.85,14194.64318,21.95,7.35,22474,73.1,16.6,19.7,62.35,33.8,1.65,0.5,0.25,1.45,31.4,2.9,3.8,0.11,18,0.342,0.256,0.338,0.101,664,150.2,0.175,0.087,147.46,NA,64.3,NA,"Q1","287","Democrat"
"280","Washington","WA","Snohomish County, Washington",37.62019541,54.26338305,1.74121798,5.535451185,9.3,90.7,28.2,8.3,73.75,36464.12286,11.8,7.5,693522,38.2,8.3,10.65,76.25,2.25,8,8.35,1.15,4.05,36.7,3.7,3.6,0.06,22.8,0.261,0.156,0.291,0.082,243.5,109.9,0.148,0.078,222.68,2.33,54.5,4.6,"Q4","280","Democrat"
"341","North Carolina","NC","Forsyth County, North Carolina",43.35599882,53.61343466,NA,3.030566521,13.1,86.9,31.2,10.3,77.25,28197.07111,27.45,7.15,348760,43.5,15,22.95,60.4,25.25,10.95,1.65,0.3,1.45,37.2,3,3,0.1,44,0.386,0.197,0.26,0.101,765.7,437.7,0.187,0.09,563.58,6.44,58.6,10,"Q4","341","Democrat"
"284","North Dakota","ND","Rolette County, North Dakota",33.04205352,57.26379028,4.778809394,4.232659749,17.9,82.1,16.5,6.5,54.3,24406.4581,43.95,23.35,13804,28.7,30.15,40.1,22.15,0.3,0.85,0.1,74.55,2.1,30.6,3.6,3.4,0.09,97.4,0.532,0.358,0.403,0.145,950.3,NA,0.194,0.112,31.57,NA,107.6,NA,"Q2","284","Democrat"
"7","Georgia","GA","Warren County, Georgia",42.49571184,56.30360206,NA,1.200686106,30.4,69.6,4.7,1.5,73.95,23740.86762,45.5,18.25,5860,63.4,22.5,35.55,39,59.65,0.6,0.3,0.15,0.35,43.3,10,2.9,0.13,66.9,0.496,NA,0.372,0.153,576.8,159.5,0.213,0.158,531.91,NA,80.8,NA,"Q2","7","Democrat"
"153","Washington","WA","King County, Washington",21.71453729,72.14892465,1.653559473,3.982881416,8.1,91.9,45.2,16.4,77,38516.32191,13.75,8.75,1895018,51.2,9.95,12.05,66.7,5.85,8.2,13.75,0.65,4.75,36.9,3,2.9,0.07,19.1,0.248,0.111,0.225,0.068,324.2,405.8,0.139,0.068,352.19,3.46,49.7,4.5,"Q4","153","Democrat"
"201","Ohio","OH","Athens County, Ohio",38.71013922,55.66014101,1.814537776,3.378547654,13.2,86.8,27.3,15.1,87.3,10229.87841,41.15,10.6,63915,38.2,31.55,31.7,91.6,2.7,1.4,2.35,0.15,1.8,25.9,3.7,5.2,0.08,14.1,0.319,0.303,0.331,0.097,369,68.7,0.171,0.077,101.67,NA,57.1,7,"Q1","201","Democrat"
