"","State","ST","County","Republicans.2016","Democrats.2016","Green.2016","Libertarians.2016","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Child.Poverty.living.in.families.below.the.poverty.line","White","Black","Hispanic","Asian","Amerindian","Other","Median.Age","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","incomequartile","orig.id","whichway"
"2057","Missouri","MO","Oregon County, Missouri",78.64493997,18.54631218,0.300171527,1.886792453,23.2,76.8,10.2,3.1,76.25,18645.17016,26.55,22.5,10601,48.7,24.95,31.95,94.25,0.2,0.95,0.4,2.4,1.75,45,NA,2.9,0.09,51.1,0.292,0.228,0.323,0.133,190.6,54,0.221,0.069,180.92,NA,78.3,NA,"Q1","2057","Republican"
"2475","Wisconsin","WI","Monroe County, Wisconsin",58.51488187,36.03866217,1.171115884,3.584944257,12.3,87.7,16.4,4.7,69.55,27965.3908,22.4,8.35,43844,32.6,13.3,20.9,93.1,0.9,3.35,0.65,1.05,0.95,38.3,3.1,3.3,0.06,34.8,0.26,0.226,0.289,0.086,321.9,32.8,0.114,0.067,127.84,NA,64,7.6,"Q3","2475","Republican"
"1049","Missouri","MO","Carroll County, Missouri",79.79821142,17.08323779,0.389818849,2.430635175,15.9,84.1,17.9,6.1,73.05,27171.93207,16.35,11.85,9555,47.6,13.95,19.4,95.6,1.9,1.2,0.25,0.2,0.85,42,3.2,2.7,0.08,36.8,0.243,0.209,0.316,0.108,172.8,NA,0.162,0.08,88.26,NA,111.8,NA,"Q3","1049","Republican"
"1426","Texas","TX","Gregg County, Texas",69.36540554,28.09863411,0.362625408,2.173334945,17.6,82.4,20.3,5.9,72.65,25377.30318,29.35,10.9,119315,46.2,16.25,23.5,62.55,19.8,14.7,1.05,0.35,1.55,35.4,3.9,2.8,0.1,73.6,0.38,0.171,0.324,0.112,813.3,329,0.241,0.057,585.09,8.82,75.1,6.8,"Q3","1426","Republican"
"1126","Nebraska","NE","Johnson County, Nebraska",65.72403706,27.30375427,1.072647489,5.89956119,17.7,82.3,11.8,3.7,69.35,26368.38095,22.65,11.5,5160,40.4,13.2,16.2,82.85,5.5,8.25,1.7,1.35,0.4,43.1,2.4,1.9,NA,27,0.151,0.188,0.3,0.089,76.8,NA,0.149,0.037,19.08,NA,88.3,NA,"Q3","1126","Republican"
"1233","Michigan","MI","Keweenaw County, Michigan",56.96291113,36.87893632,1.399580126,4.33869839,9.2,90.8,22,7.7,67.6,20422.62254,42.45,6.75,2190,0,20.05,41.4,97.7,0.05,0.6,0,0.65,0.95,50.6,NA,NA,NA,NA,0.21,NA,0.322,0.125,460.2,NA,0.158,0.122,123.25,NA,NA,NA,"Q1","1233","Republican"
"2432","Indiana","IN","Pike County, Indiana",73.58206458,21.69984942,NA,4.718085996,16.1,83.9,8.3,3,72.2,27516.43842,20.4,10.7,12670,41.4,13.65,17.55,98.05,0.25,0.9,0.25,0.1,0.5,41.9,4.5,NA,0.1,44.9,0.355,0.184,0.315,0.118,180.7,NA,0.152,0.077,351.84,NA,63.3,NA,"Q3","2432","Republican"
"1473","Kentucky","KY","Allen County, Kentucky",79.915956,16.67284637,0.568532938,1.989865282,26.4,73.6,10.6,4.4,71.65,22272.71842,35.85,11.7,19377,21.4,19.05,25.55,96.3,0.8,1.35,0.4,0.25,1,37.8,4.8,6,0.09,50.9,0.315,0.31,0.338,0.109,218.5,70.7,0.195,0.087,77.55,NA,77.2,NA,"Q2","1473","Republican"
"2336","Ohio","OH","Carroll County, Ohio",70.79722027,24.39291013,0.679315999,3.466854064,16.7,83.3,12,4.8,73.35,25621.78318,19.5,7.25,28794,37,12.45,19.3,97.25,0.85,0.6,0.15,0.2,1,42.2,4.8,4.3,0.09,32.7,0.202,0.233,0.288,0.113,225.8,33.1,0.158,0.075,76.88,NA,59.3,NA,"Q3","2336","Republican"
"807","Michigan","MI","Lenawee County, Michigan",57.58361477,36.49635037,0.978320078,4.453644188,12.1,87.9,19.2,6.8,77.3,26787.60603,24.05,7.75,100339,40.3,12.9,17.75,88,2.25,7.55,0.5,0.35,1.35,39.4,3.1,2.6,0.07,34.4,0.306,0.168,0.323,0.116,207.2,69.4,0.121,0.089,250.19,NA,49.1,6,"Q3","807","Republican"
"545","Virginia","VA","Goochland County, Virginia",60.11486001,35.06101938,0.380473798,3.402727925,20.7,79.3,30.7,12.8,80.15,29587.02222,7.5,8,21073,55.5,7.75,5.3,71.3,24.6,1.7,0.95,0.25,1.2,44.1,2.4,NA,0.08,16.1,0.201,0.135,0.26,0.112,205.6,382.7,0.096,0.049,124.17,NA,67.2,NA,"Q4","545","Republican"
