"","State","ST","County","Republicans.2016","Democrats.2016","Green.2016","Libertarians.2016","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Child.Poverty.living.in.families.below.the.poverty.line","White","Black","Hispanic","Asian","Amerindian","Other","Median.Age","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","orig.id"
"368","Indiana","IN","Posey County, Indiana",67.42448586,28.23746787,NA,4.338046272,11,89,18.5,6.5,82.05,32564.01905,12.4,9,26077,55,8.3,12.1,96.75,0.9,1.25,0.2,0.1,0.85,40.7,3.7,2.3,0.07,27.1,0.279,0.215,0.316,0.107,233.3,40.7,0.116,0.072,NA,NA,74.3,NA,"368"
"1525","Virginia","VA","Culpeper County, Virginia",60.40204645,35.0613483,0.796848825,2.644089283,17.4,82.6,21.6,8,73.25,33178.78603,4.9,6.85,45806,39.7,6.7,7.75,72.5,15.55,8.1,1.35,0.25,2.3,37.1,3.2,3.8,0.08,38.3,0.275,0.151,0.33,0.1,353.9,170.5,0.17,0.064,203.03,NA,58.6,6.6,"1525"
"500","New York","NY","Allegany County, New York",68.44719771,26.14107884,1.466892642,3.944830811,11.7,88.3,18.6,9.6,81,20614.25619,25.3,9.4,49168,41,16.65,22.95,95.5,1,1.25,1,0.25,1,37.1,3.6,3.3,0.07,19.9,0.31,0.214,0.298,0.103,129.2,72.2,0.11,0.085,193.78,NA,57.4,7.1,"500"
"2225","Colorado","CO","Crowley County, Colorado",70.74784911,22.23692919,0.661813369,4.103242886,27.6,72.4,12.2,1.5,67.2,17152.33238,21.05,21.65,6067,65.3,23.15,29.25,61.7,8.75,26.4,0.8,1.65,0.75,38.3,6.5,NA,0.1,57.6,0.266,0.155,0.243,0.063,139.5,NA,0.18,0.102,43.98,NA,NA,NA,"2225"
"1868","South Dakota","SD","Day County, South Dakota",59.228249,35.45686203,NA,4.222788497,11.4,88.6,17.7,3.8,80.85,21343.6908,18.35,15.15,5673,81.1,11.95,10.7,87.85,0.05,1.15,0.1,8.95,1.9,47.1,NA,NA,0.05,33.9,0.38,0.169,0.334,0.097,156.8,NA,0.182,0.063,NA,NA,87.5,NA,"1868"
"125","Kansas","KS","Gray County, Kansas",82.09845848,12.77971159,1.491795127,3.630034809,25.3,74.7,19.8,4.3,74,25939.54953,11.85,4.25,5945,26.2,9.1,15.2,83.7,0.2,14.75,0.25,0.15,0.95,35.4,3.1,2.3,0.07,31.7,0.142,0.137,0.29,0.088,147.2,NA,0.204,0.03,39.5,NA,95.5,NA,"125"
"1626","North Dakota","ND","Emmons County, North Dakota",85.3496682,10.97498724,0.510464523,2.654415518,20.9,79.1,13.7,2.4,83.65,22279.5127,40.8,20.5,3546,20.8,15.25,21.45,98.4,0.15,0.55,0.1,0.2,0.65,49.8,2.5,2.6,NA,NA,0.213,0.116,0.326,0.113,141,NA,0.168,0.059,23.84,NA,NA,NA,"1626"
"951","Kansas","KS","Finney County, Kansas",63.25146439,30.89096701,1.788099887,4.069468708,30.2,69.8,17.3,6.3,73.05,25631.79969,27.4,7.6,38889,37.3,14.2,21.65,48.6,1.55,45.4,2.95,0.4,1.1,30.2,3.2,2.8,0.08,79.4,0.247,0.209,0.332,0.088,512.4,63.4,0.193,0.044,364.75,NA,64.8,6.1,"951"
"499","Georgia","GA","Early County, Georgia",53.36679214,45.27394396,NA,1.359263906,22.9,77.1,13.5,6.5,77.35,22289.19143,41.05,15.35,11410,80.1,27.95,42.5,47.75,50.2,0.95,0.25,0.25,0.6,38.2,NA,NA,0.15,72.2,0.521,0.242,0.305,0.134,1169,188.2,0.193,0.084,521.4,NA,83.3,NA,"499"
"211","Illinois","IL","Hardin County, Illinois",77.35583685,19.64369433,0.843881857,2.156586967,23,77,11,2.6,71.55,25140.86762,32.85,11.75,4395,73.6,19.65,31.05,97.15,0.3,1.05,0.55,0.3,0.6,43.3,NA,NA,0.1,39.6,0.358,NA,0.311,0.107,186.9,NA,0.133,0.107,277.78,NA,145.3,NA,"211"
